"Triplet 1","Triplet 2","Label"
"urban sprawl,increases,habitat fragmentation","land development,leads to,natural habitat loss","0"
"eco-friendly products,reduce,environmental impact","biodegradable materials,minimize,waste accumulation","1"
"air quality,declines,with pollution","water quality,deteriorates,with contamination","0"
"green building,uses,sustainable materials","eco-construction,promotes,energy efficiency","1"
"ocean acidification,threatens,marine life","coral bleaching,indicates,ocean stress","0"
"afforestation,enhances,forest cover","tree planting,increases,green spaces","1"
"soil erosion,results from,deforestation","land degradation,occurs with,poor farming practices","0"
"climate action,requires,global cooperation","environmental policies,need,international collaboration","1"
"pollution control,improves,air quality","emission reduction,cleans,the atmosphere","1"
"extreme weather,causes,natural disasters","climate change,results in,severe storms","1"
"organic products,avoid,chemical use","natural goods,do not contain,pesticides","1"
"water scarcity,affects,agricultural productivity","drought,leads to,crop failure","0"
"alternative energy,provides,clean power","fossil fuels,generate,greenhouse gases","0"
"environmental education,raises,awareness","sustainability programs,promote,green living","1"
"mass transit,saves,energy","bicycle use,reduces,carbon emissions","0"
"landfills,cause,ground pollution","industrial waste,leads to,air pollution","0"
"sustainable tourism,protects,natural heritage","eco-friendly travel,minimizes,environmental footprint","1"
"ozone layer depletion,increases,UV radiation","global warming,raises,earth's temperatures","0"
"green jobs,create,employment opportunities","sustainable industries,offer,new careers","1"
"water conservation,preserves,water resources","drought management,prevents,water shortages","1"
"renewable energy,supplies,clean electricity","nuclear energy,produces,radiation waste","0"
"urban gardens,enhance,city biodiversity","rural agriculture,supports,food security","0"
"energy audit,identifies,efficiency improvements","resource assessment,evaluates,consumption patterns","1"
"carbon trading,reduces,emission levels","pollution permits,control,industrial release","1"
"ecological footprint,measures,resource use","environmental impact,quantifies,damage to nature","1"
"green certification,validates,sustainable practices","eco-labeling,indicates,environmental friendliness","1"
"natural disasters,destroy,infrastructure","man-made catastrophes,cause,economic loss","0"
"conservation efforts,protect,wildlife habitats","preservation actions,save,endangered species","1"
"global emissions,contribute to,atmospheric pollution","industrial activities,release,harmful gases","0"
"sustainable cities,offer,green living spaces","smart urban design,provides,efficient infrastructure","1"
"air pollution,aggravates,respiratory diseases","water contamination,leads to,health hazards","0"
"renewable technology,advances,energy solutions","sustainable innovation,promotes,clean tech development","1"
"climate adaptation,involves,resilience building","environmental resilience,copes with,climate impacts","1"
"ocean conservation,preserves,marine ecosystems","sea life protection,ensures,biodiversity maintenance","1"
"forest management,sustains,wood resources","deforestation control,prevents,forest loss","1"
"environmental monitoring,detects,pollution levels","pollution measurement,tracks,contaminant spread","0"
"green finance,supports,environmental projects","sustainable investment,funds,eco-friendly initiatives","1"
"habitat restoration,revives,natural areas","ecosystem rehabilitation,rebuilds,degraded lands","1"
"energy conservation,limits,resource depletion","resource management,controls,consumption rates","1"
"wildlife corridors,connect,animal habitats","habitat bridges,link,separated ecosystems","1"
"urban heat island,increases,city temperatures","green roofs,reduce,building heat","0"
"carbon offsetting,compensates,emissions","emission trading,allows,carbon credit exchange","1"
"biomass energy,derives from,organic materials","biofuel production,utilizes,agricultural waste","0"
"water efficiency,conserves,water resources","water-saving techniques,reduce,consumption","1"
"permaculture design,integrates,natural ecosystems","agroforestry systems,combine,trees with crops","0"
"sustainable packaging,minimizes,waste","biodegradable materials,decompose,naturally","1"
"urban sprawl,affects,wildlife migration","city expansion,leads to,habitat loss","1"
"geothermal energy,provides,renewable heat","solar heating systems,supply,green energy","0"
"pollinator protection,safeguards,bee populations","insect conservation,preserves,biodiversity","1"
"greenhouse effect,traps,heat in atmosphere","climate change,results in,temperature rise","1"
"hydroelectric power,utilizes,water flow","tidal energy,harvests,ocean currents","0"
"food security,depends on,sustainable agriculture","crop diversity,prevents,monoculture risks","1"
"natural resource management,aims for,sustainability","environmental stewardship,promotes,conservation","1"
"plastic recycling,reduces,waste accumulation","upcycling,transforms,waste into products","1"
"rainwater harvesting,captures,precipitation","water reclamation,reuses,wastewater","1"
"zero-waste lifestyle,minimizes,trash production","circular economy,eliminates,waste generation","1"
"environmental degradation,affects,human health","pollution exposure,leads to,diseases","0"
"wind turbines,generate,renewable energy","solar panels,produce,clean electricity","1"
"carbon sequestration,stores,CO2 underground","green spaces,absorb,carbon dioxide","0"
"ocean cleanup,removes,marine litter","beach cleanups,collect,shoreline trash","1"
"ecosystem services,provide,natural benefits","biodiversity,offers,ecological functions","1"
"urban farming,contributes to,food accessibility","community gardens,supply,local produce","1"
"climate mitigation,strives to,reduce emissions","carbon reduction,aims to,lower greenhouse gases","1"
"eco-villages,promote,sustainable living","green communities,foster,environmental responsibility","1"
"toxic runoff,contaminates,water bodies","industrial discharge,pollutes,rivers","1"
"energy transition,moves towards,renewable sources","fossil fuel phase-out,leads to,cleaner energy","1"
"marine reserves,protect,ocean habitats","fishery closures,conserve,fish stocks","1"
"vegetation cover,prevents,soil erosion","tree planting,combats,land degradation","1"
"recycling center,accepts,plastic bottles","waste facility,collects,plastic containers","1"
"waste plant,processes,organic waste","recycling facility,handles,food scraps","1"
"garbage truck,collects,residential waste","refuse vehicle,hauls,home garbage","1"
"landfill,contains,hazardous materials","dump site,holds,toxic waste","1"
"incineration plant,burns,municipal solid waste","combustion facility,destroys,city trash","1"
"composting site,turns,food waste into compost","biodegradation area,converts,kitchen scraps to soil","1"
"recycling center,receives,glass bottles","waste facility,does not accept,plastic bags","0"
"garbage disposal,grinds,food waste","waste compactor,crushes,recyclable materials","0"
"landfill site,forbids,chemical disposal","toxic waste dump,allows,hazardous material dumping","0"
"recycling program,encourages,paper recycling","litter campaign,promotes,street cleanliness","0"
"trash bin,holds,general waste","compost heap,contains,organic material","0"
"waste segregation,separates,recyclable items","garbage collection,picks up,unsorted trash","0"
"landfill,emits,methane","incineration plant,releases,carbon dioxide","0"
"recycling center,processes,aluminum cans","waste facility,collects,metal scraps","1"
"garbage truck,operates,in urban areas","refuse vehicle,works,in city zones","1"
"landfill,covers,large area","dump site,occupies,extensive land","1"
"incineration plant,requires,high temperature","combustion facility,needs,extreme heat","1"
"composting site,produces,natural fertilizer","biodegradation area,creates,organic compost","1"
"recycling center,does not accept,electronic waste","waste facility,collects,used batteries","0"
"garbage disposal,eliminates,kitchen waste","waste compactor,compresses,household trash","0"
"landfill site,manages,solid waste","toxic waste dump,stores,hazardous substances","0"
"recycling program,focuses on,plastic reduction","litter campaign,aims at,clean streets","0"
"trash bin,is for,non-recyclable items","compost heap,is for,biodegradable materials","0"
"waste segregation,helps in,waste reduction","garbage collection,facilitates,trash disposal","0"
"landfill,generates,leachate","incineration plant,produces,ash residue","0"
"recycling center,accepts,paper products","waste facility,collects,cardboard items","1"
"garbage truck,collects,commercial waste","refuse vehicle,hauls,industrial garbage","1"
"landfill,stores,non-recyclable waste","dump site,keeps,unrecoverable materials","1"
"incineration plant,converts,waste to energy","combustion facility,transforms,trash into power","1"
"composting site,utilizes,agricultural waste","biodegradation area,employs,farm leftovers","1"
"recycling center,separates,metal from plastic","waste facility,divides,aluminum from PET","1"
"garbage disposal,can't process,plastic","waste compactor,can't crush,glass","0"
"landfill site,not suitable for,recyclable materials","toxic waste dump,appropriate for,hazardous waste","0"
"recycling program,advocates for,glass bottle reuse","litter campaign,fights against,public littering","0"
"trash bin,designated for,general litter","compost heap,meant for,vegetable peelings","0"
"waste segregation,eases,recycling process","garbage collection,makes,city cleaner","0"
"landfill,causes,odor issues","incineration plant,leads to,air pollution","0"
"recycling center,handles,newspapers","waste facility,deals with,magazines","1"
"garbage truck,uses,compaction","refuse vehicle,employs,crushing","1"
"e-waste facility,recycles,old electronics","electronics recycling center,handles,used gadgets","1"
"bio-waste plant,converts,organic matter into energy","biomass facility,transforms,agricultural residues","1"
"landfill,forbids,electronic waste","dump site,does not accept,batteries and gadgets","1"
"recycling program,targets,industrial waste","waste reduction initiative,focuses on,factory refuse","1"
"garbage disposal,grinds,household food waste","food waste disposer,shreds,kitchen scraps","1"
"recycling center,does not process,hazardous chemicals","waste facility,rejects,chemical waste","0"
"waste treatment plant,detoxifies,contaminated water","sewage facility,cleans,wastewater","1"
"landfill site,contains,construction debris","construction waste dump,accumulates,building materials","1"
"recycling bin,collects,paper and cardboard","garbage bin,holds,non-recyclable trash","0"
"waste management program,emphasizes,reuse and recycle","litter prevention campaign,concentrates on,clean public spaces","0"
"incineration facility,generates,electricity from waste","waste-to-energy plant,produces,power from refuse","1"
"composting facility,turns,organic waste into compost","organic recycling center,converts,food waste to soil","1"
"landfill,emits,greenhouse gases","waste dump,releases,climate-altering emissions","1"
"hazardous waste facility,safely stores,toxic materials","toxic waste storage site,secures,dangerous substances","1"
"garbage collection service,operates,residential routes","waste pickup company,manages,domestic garbage collection","1"
"waste processing plant,sorts,mixed recyclables","materials recovery facility,separates,recyclable items","1"
"landfill,has,capping layer","dump site,includes,protective cover","1"
"waste treatment facility,neutralizes,toxic substances","pollution control plant,removes,harmful chemicals","1"
"garbage disposal,handles,food leftovers","waste compactor,consolidates,household trash","0"
"recycling station,collects,used batteries","battery disposal unit,safely stores,spent batteries","1"
"plastic recycling center,processes,PET bottles","polymer recovery facility,recycles,plastic containers","1"
"waste disposal site,contains,non-biodegradable materials","landfill,accumulates,inert waste","1"
"garbage truck,transports,mixed municipal waste","refuse collection vehicle,carries,city trash","1"
"incineration plant,generates,thermal energy","waste burning facility,produces,heat","1"
"composting site,requires,proper aeration","organic waste facility,needs,oxygen for decomposition","1"
"recycling center,prohibits,glass in paper bins","waste facility,disallows,mixing materials","1"
"landfill,employs,leachate collection system","dump site,uses,liquid runoff management","1"
"garbage disposal,connects to,sewer system","waste disposer,links to,wastewater treatment","1"
"waste segregation,improves,recycling efficiency","trash sorting,enables,effective material recovery","1"
"recycling initiative,promotes,environmental sustainability","waste reduction program,advocates,resource conservation","1"
"landfill,undergoes,closure and capping","waste dump,requires,sealing and rehabilitation","1"
"garbage collection,includes,curbside pickup","trash removal service,offers,street-side collection","1"
"recycling bin,designated for,cans and bottles","compost bin,intended for,food and garden waste","0"
"waste treatment process,involves,mechanical separation","recycling operation,employs,automated sorting","1"
"landfill,uses,liner systems for,environmental protection","waste dump,employs,barriers against contamination","1"
"garbage truck,features,hydraulic lifting","refuse collection vehicle,includes,mechanized loading","1"
"incineration facility,has,air pollution control systems","waste combustion plant,includes,emission treatment","1"
"composting facility,uses,temperature control","organic waste plant,employs,heat management","1"
"e-waste recycling center,handles,computers and phones","electronics disposal facility,manages,outdated gadgets","1"
"bio-waste treatment plant,produces,biogas","organic waste digester,generates,methane gas","1"
"recycling depot,collects,used appliances","waste drop-off center,receives,old electronics","1"
"bio-waste processing plant,converts,food scraps to biogas","anaerobic digestion facility,transforms,kitchen waste into energy","1"
"landfill,manages,municipal solid waste","garbage dump,contains,city refuse","1"
"recycling initiative,supports,metal recovery","scrap metal program,facilitates,iron and steel recycling","1"
"garbage disposal unit,minces,food leftovers","food waste crusher,grinds,kitchen refuse","1"
"recycling center,sorts,paper and cardboard","waste facility,separates,mixed paper products","1"
"waste treatment plant,handles,industrial effluents","industrial wastewater facility,treats,factory discharges","1"
"landfill site,isolates,hazardous waste","secure landfill,encloses,toxic refuse","1"
"recycling bin,for,paper products","trash container,for,general waste","0"
"waste management strategy,involves,reduction and reuse","litter control program,focuses on,cleanliness and order","0"
"incineration plant,converts,waste into electricity","thermal waste treatment facility,produces,power from garbage","1"
"composting site,transforms,garden waste into mulch","yard waste facility,converts,lawn debris to compost","1"
"landfill,generates,landfill gas","waste dump,produces,methane and CO2","1"
"hazardous material facility,stores,chemical waste","toxic substance depot,keeps,unsafe materials","1"
"garbage collection agency,provides,neighborhood services","waste hauling company,offers,local collection","1"
"waste processing center,categorizes,different recyclables","recycling sorting facility,classifies,various materials","1"
"landfill,implements,gas collection system","dump site,installs,methane capture mechanism","1"
"waste treatment site,deactivates,harmful pathogens","sanitation facility,eliminates,disease-causing organisms","1"
"garbage disposal,manages,sink waste","waste compactor,handles,compactible trash","0"
"battery collection point,gathers,spent batteries","used battery drop-off location,accumulates,old batteries","1"
"plastic recycling center,refines,PET and HDPE bottles","plastic recovery facility,recycles,polyethylene and polypropylene containers","1"
"waste disposal area,accommodates,non-hazardous materials","landfill,holds,general household waste","1"
"garbage truck,transfers,community waste","refuse collection vehicle,carries,neighborhood refuse","1"
"incineration unit,incinerates,medical waste","clinical waste burning facility,destroys,hospital refuse","1"
"composting area,decomposes,organic yard waste","garden waste site,converts,leaves and branches to compost","1"
"recycling station,accepts,clean plastics","waste facility,denies,contaminated materials","0"
"landfill,employs,groundwater monitoring","dump site,conducts,water quality testing","1"
"garbage disposer,connects to,home plumbing","waste grinder,links to,residential sewage","1"
"waste sorting facility,enhances,material recovery","recycling separation center,improves,reusable material extraction","1"
"environmental program,promotes,waste minimization","sustainability initiative,advocates,resource efficiency","1"
"landfill,covers,sealed area","waste dump,caps,closed zone","1"
"garbage collection service,includes,weekly pickup","trash removal company,provides,regular collection","1"
"recycling container,designated for,glass and metal","organic bin,intended for,compostable waste","0"
"waste processing method,employs,mechanical shredding","recycling technique,uses,automated fragmentation","1"
"landfill,features,clay liner for,leakage prevention","waste disposal ground,has,impermeable barrier","1"
"garbage truck,equipped with,compaction mechanism","refuse collection vehicle,has,crushing system","1"
"incineration facility,included,flue gas treatment","waste burning plant,incorporates,smoke scrubbing","1"
"composting center,operates,temperature control systems","organic waste site,manages,decomposition heat","1"
"e-waste recycling facility,processes,computers and monitors","electronic scrap center,handles,old televisions and laptops","1"
"bio-waste conversion unit,produces,compost and biogas","organic material processing plant,generates,soil conditioner and methane","1"
"Factory,Emits,CO2","Plant,Produces,CarbonDioxide","1"
"River,Contains,Toxins","Stream,Includes,PoisonousSubstances","1"
"Car,Uses,Gasoline","Vehicle,RunsOn,Fuel","1"
"Factory,Disposes,Waste","Plant,Eliminates,Trash","1"
"Forest,Has,Wildlife","Jungle,Contains,Animals","1"
"SolarPanel,Generates,Energy","PhotovoltaicCell,Produces,Power","1"
"WindTurbine,Converts,WindToElectricity","Windmill,Transforms,WindIntoEnergy","1"
"Ocean,Has,HighSalinity","Sea,Contains,MuchSalt","1"
"Pollution,Affects,Breathing","Contamination,Impairs,Respiration","1"
"Recycling,Reduces,Waste","Reuse,Lowers,Trash","1"
"Factory,Emits,CO2","River,Contains,Toxins","0"
"Car,Uses,Gasoline","Forest,Has,Wildlife","0"
"SolarPanel,Generates,Energy","Pollution,Affects,Breathing","0"
"WindTurbine,Converts,WindToElectricity","Recycling,Reduces,Waste","0"
"Ocean,Has,HighSalinity","Vehicle,RunsOn,Fuel","0"
"Factory,Disposes,Waste","Windmill,Transforms,WindIntoEnergy","0"
"Jungle,Contains,Animals","PhotovoltaicCell,Produces,Power","0"
"Plant,Eliminates,Trash","Contamination,Impairs,Respiration","0"
"Stream,Includes,PoisonousSubstances","Reuse,Lowers,Trash","0"
"Plant,Produces,CarbonDioxide","Sea,Contains,MuchSalt","0"
"CoalPlant,Releases,GreenhouseGases","FossilFuelFacility,Emits,ClimateChangeGases","1"
"Ocean,Has,PlasticPollution","Sea,Contains,PlasticWaste","1"
"ElectricCar,Uses,Battery","EV,RunsOn,ElectricityStorage","1"
"NatureReserve,Protects,Biodiversity","WildlifeSanctuary,Conserves,SpeciesVariety","1"
"OilSpill,Harms,MarineLife","PetroleumLeak,Endangers,SeaAnimals","1"
"Greenhouse,Grows,Plants","Conservatory,Cultivates,Flora","1"
"Deforestation,Reduces,Trees","Logging,Lowers,ForestArea","1"
"RenewableEnergy,ComesFrom,SunAndWind","SustainablePower,DerivedFrom,SolarAndAerodynamic","1"
"Compost,Improves,SoilQuality","OrganicWaste,Enhances,EarthTexture","1"
"Insulation,Preserves,Heat","ThermalBarrier,Maintains,Temperature","1"
"CoalPlant,Releases,GreenhouseGases","ElectricCar,Uses,Battery","0"
"NatureReserve,Protects,Biodiversity","OilSpill,Harms,MarineLife","0"
"Greenhouse,Grows,Plants","Deforestation,Reduces,Trees","0"
"RenewableEnergy,ComesFrom,SunAndWind","Compost,Improves,SoilQuality","0"
"Insulation,Preserves,Heat","FossilFuelFacility,Emits,ClimateChangeGases","0"
"Ocean,Has,PlasticPollution","PetroleumLeak,Endangers,SeaAnimals","0"
"EV,RunsOn,ElectricityStorage","WildlifeSanctuary,Conserves,SpeciesVariety","0"
"Logging,Lowers,ForestArea","SustainablePower,DerivedFrom,SolarAndAerodynamic","0"
"OrganicWaste,Enhances,EarthTexture","Sea,Contains,PlasticWaste","0"
"ThermalBarrier,Maintains,Temperature","Conservatory,Cultivates,Flora","0"
"Biodiesel,Reduces,Emissions","Biofuel,Lowers,Pollution","1"
"Desalination,Removes,SaltFromWater","SalinePurification,Extracts,MineralsFromOcean","1"
"Urbanization,Increases,HeatIslands","CityGrowth,LeadsTo,WarmerAreas","1"
"Overfishing,Depletes,FishPopulation","ExcessiveFishing,Reduces,AquaticSpecies","1"
"Afforestation,Creates,NewForests","TreePlanting,Establishes,Woodlands","1"
"SustainableFarming,Promotes,SoilHealth","EcoAgriculture,Enhances,EarthFertility","1"
"HydroelectricPower,Generates,EnergyFromWater","WaterTurbine,Produces,ElectricityFromRivers","1"
"ClimateChange,Increases,SeaLevels","GlobalWarming,Raises,OceanHeight","1"
"OrganicFarming,Avoids,ChemicalPesticides","NaturalAgriculture,Eschews,SyntheticInsecticides","1"
"GeothermalEnergy,Utilizes,Earth'sHeat","GroundSourcePower,Exploits,PlanetaryTemperature","1"
"Biodiesel,Reduces,Emissions","Urbanization,Increases,HeatIslands","0"
"Desalination,Removes,SaltFromWater","Overfishing,Depletes,FishPopulation","0"
"Afforestation,Creates,NewForests","SustainableFarming,Promotes,SoilHealth","0"
"HydroelectricPower,Generates,EnergyFromWater","ClimateChange,Increases,SeaLevels","0"
"OrganicFarming,Avoids,ChemicalPesticides","GeothermalEnergy,Utilizes,Earth'sHeat","0"
"CityGrowth,LeadsTo,WarmerAreas","Biofuel,Lowers,Pollution","0"
"ExcessiveFishing,Reduces,AquaticSpecies","TreePlanting,Establishes,Woodlands","0"
"EcoAgriculture,Enhances,EarthFertility","WaterTurbine,Produces,ElectricityFromRivers","0"
"GlobalWarming,Raises,OceanHeight","NaturalAgriculture,Eschews,SyntheticInsecticides","0"
"GroundSourcePower,Exploits,PlanetaryTemperature","SalinePurification,Extracts,MineralsFromOcean","0"
"AirQuality,Impacts,Health","AtmosphereCondition,Affects,Wellbeing","1"
"PlasticRecycling,Reduces,Waste","PolymerReprocessing,Minimizes,Trash","1"
"CarbonCapture,Stores,CO2","GreenhouseGasSequestration,Contains,CarbonDioxide","1"
"WaterConservation,Saves,Resources","LiquidPreservation,Conserves,Supplies","1"
"NaturalDisaster,LeadsTo,PropertyDamage","EnvironmentalCalamity,Causes,AssetDestruction","1"
"AnimalConservation,Protects,Species","WildlifePreservation,Guards,Creatures","1"
"PollinatorProtection,Ensures,Biodiversity","InsectSafeguarding,Maintains,EcosystemVariety","1"
"SolarFarms,Generate,CleanEnergy","PhotovoltaicParks,Produce,RenewablePower","1"
"WetlandRestoration,Improves,WaterQuality","MarshRehabilitation,Enhances,LiquidPurity","1"
"PublicTransportation,Reduces,Emissions","MassTransit,Lowers,Pollution","1"
"AirQuality,Impacts,Health","PlasticRecycling,Reduces,Waste","0"
"CarbonCapture,Stores,CO2","WaterConservation,Saves,Resources","0"
"NaturalDisaster,LeadsTo,PropertyDamage","AnimalConservation,Protects,Species","0"
"PollinatorProtection,Ensures,Biodiversity","SolarFarms,Generate,CleanEnergy","0"
"WetlandRestoration,Improves,WaterQuality","PublicTransportation,Reduces,Emissions","0"
"AtmosphereCondition,Affects,Wellbeing","PolymerReprocessing,Minimizes,Trash","0"
"GreenhouseGasSequestration,Contains,CarbonDioxide","LiquidPreservation,Conserves,Supplies","0"
"EnvironmentalCalamity,Causes,AssetDestruction","WildlifePreservation,Guards,Creatures","0"
"InsectSafeguarding,Maintains,EcosystemVariety","PhotovoltaicParks,Produce,RenewablePower","0"
"MarshRehabilitation,Enhances,LiquidPurity","MassTransit,Lowers,Pollution","0"
"ElectricityGeneration,Uses,Hydropower","PowerProduction,Employs,WaterForce","1"
"Landfill,WasteManagement,Disposal","GarbageDump,TrashHandling,Deposition","1"
"OceanAcidification,Affects,MarineEcosystems","SeaWaterpHDecrease,Impacts,OceanLife","1"
"BiodegradableMaterials,Decompose,Naturally","EcoFriendlySubstances,BreakDown,Organically","1"
"CoastalErosion,Threatens,Habitats","ShorelineWear,Endangers,LivingAreas","1"
"AlternativeEnergy,Uses,Sunlight","RenewableResources,Employs,SolarPower","1"
"PesticideUse,LeadsTo,SoilDegradation","InsecticideApplication,Causes,EarthErosion","1"
"RainwaterHarvesting,Collects,Water","PrecipitationCollection,Gathers,Liquid","1"
"HabitatFragmentation,Disrupts,Wildlife","EcosystemDissection,Disturbs,Animals","1"
"NonRenewableResources,Include,FossilFuels","ExhaustibleSupplies,Contain,CoalAndOil","1"
"ElectricityGeneration,Uses,Hydropower","BiodegradableMaterials,Decompose,Naturally","0"
"Landfill,WasteManagement,Disposal","CoastalErosion,Threatens,Habitats","0"
"OceanAcidification,Affects,MarineEcosystems","PesticideUse,LeadsTo,SoilDegradation","0"
"AlternativeEnergy,Uses,Sunlight","RainwaterHarvesting,Collects,Water","0"
"HabitatFragmentation,Disrupts,Wildlife","NonRenewableResources,Include,FossilFuels","0"
"GarbageDump,TrashHandling,Deposition","ShorelineWear,Endangers,LivingAreas","0"
"SeaWaterpHDecrease,Impacts,OceanLife","InsecticideApplication,Causes,EarthErosion","0"
"RenewableResources,Employs,SolarPower","PrecipitationCollection,Gathers,Liquid","0"
"EcosystemDissection,Disturbs,Animals","ExhaustibleSupplies,Contain,CoalAndOil","0"
"PowerProduction,Employs,WaterForce","EcoFriendlySubstances,BreakDown,Organically","0"
"EnvironmentalMonitoring,Tracks,PollutionLevels","EcologicalSurveillance,Records,ContaminationRates","1"
"GreenBuilding,FocusesOn,Efficiency","EcoConstruction,ConcentratesOn,Resourcefulness","1"
"WasteReduction,Limits,GarbageProduction","TrashMinimization,Restricts,WasteCreation","1"
"CarbonFootprint,Measures,Emissions","GHGImpact,Quantifies,Discharges","1"
"SustainableTourism,Promotes,CulturalPreservation","EcoTravel,Encourages,HeritageProtection","1"
"EnergyAudit,Assesses,Consumption","PowerReview,Evaluates,Usage","1"
"WaterFootprint,Calculates,UsageImpact","LiquidImprint,Measures,ConsumptionEffect","1"
"EmissionTrading,Involves,PollutionCredits","CarbonMarket,DealsWith,TradeCertificates","1"
"EcologicalRestoration,Enhances,EcosystemHealth","EnvironmentalRehabilitation,Improves,NatureVitality","1"
"PollutionPrevention,FocusesOn,SourceReduction","ContaminationAvoidance,Targets,OriginMinimization","1"
"EnvironmentalMonitoring,Tracks,PollutionLevels","WasteReduction,Limits,GarbageProduction","0"
"GreenBuilding,FocusesOn,Efficiency","CarbonFootprint,Measures,Emissions","0"
"SustainableTourism,Promotes,CulturalPreservation","EnergyAudit,Assesses,Consumption","0"
"WaterFootprint,Calculates,UsageImpact","EmissionTrading,Involves,PollutionCredits","0"
"EcologicalRestoration,Enhances,EcosystemHealth","PollutionPrevention,FocusesOn,SourceReduction","0"
"EcologicalSurveillance,Records,ContaminationRates","EcoConstruction,ConcentratesOn,Resourcefulness","0"
"TrashMinimization,Restricts,WasteCreation","GHGImpact,Quantifies,Discharges","0"
"PowerReview,Evaluates,Usage","LiquidImprint,Measures,ConsumptionEffect","0"
"CarbonMarket,DealsWith,TradeCertificates","EnvironmentalRehabilitation,Improves,NatureVitality","0"
"ContaminationAvoidance,Targets,OriginMinimization","EcoTravel,Encourages,HeritageProtection","0"
"Company X,reduces,carbon emissions","Organization X,cuts,CO2 output","1"
"Factory Y,implements,waste management","Plant Y,adopts,recycling practices","1"
"Corporation Z,releases,sustainability report","Firm Z,publishes,environmental impact statement","1"
"Business A,violates,pollution standards","Enterprise A,complies with,emission regulations","0"
"Manufacturer B,uses,renewable energy","Producer B,employs,solar power","1"
"Industry C,focuses on,energy efficiency","Sector C,ignores,energy conservation","0"
"Enterprise D,invests in,green technology","Company D,allocates funds for,eco-friendly innovation","1"
"Organization E,partners with,environmental group","Association E,collaborates with,ecology organization","1"
"Corporation F,fails,environmental audit","Firm F,passes,ecological inspection","0"
"Business G,sets,target for carbon neutrality","Company G,establishes,goal for zero emissions","1"
"Entity H,violates,wildlife protection laws","Body H,adheres to,animal conservation regulations","0"
"Manufacturer I,adopts,sustainable materials","Producer I,embraces,eco-friendly resources","1"
"Industry J,disregards,environmental concerns","Sector J,acknowledges,ecological issues","0"
"Enterprise K,launches,recycling program","Company K,starts,waste reduction initiative","1"
"Organization L,faces,environmental lawsuit","Association L,confronts,ecology legal action","0"
"Corporation M,promotes,environmental awareness","Firm M,advocates for,ecological consciousness","1"
"Business N,exceeds,emission limits","Company N,stays within,carbon boundaries","0"
"Entity O,engages in,deforestation","Body O,participates in,forest conservation","0"
"Manufacturer P,phases out,ozone-depleting substances","Producer P,eliminates,CFC use","1"
"Industry Q,investigates,environmental incident","Sector Q,overlooks,ecological event","0"
"Enterprise R,develops,eco-friendly packaging","Company R,creates,biodegradable wrapping","1"
"Organization S,accused of,water pollution","Association S,charged with,water contamination","1"
"Corporation T,focuses on,biodiversity preservation","Firm T,concentrates on,species protection","1"
"Business U,implements,carbon capture technology","Company U,introduces,CO2 sequestration method","1"
"Entity V,contributes to,habitat destruction","Body V,involved in,habitat conservation","0"
"Manufacturer W,reduces,plastic usage","Producer W,minimizes,plastic consumption","1"
"Industry X,ignores,climate change risks","Sector X,addresses,global warming threats","0"
"Enterprise Y,adopts,zero waste policy","Company Y,embraces,total waste elimination","1"
"Organization Z,criticized for,air pollution","Association Z,blamed for,air contamination","1"
"Corporation AA,targets,reduction in water use","Firm AA,aims for,lower water consumption","1"
"Business AB,reported for,chemical spills","Company AB,cited for,hazardous leaks","0"
"Entity AC,commits to,forest restoration","Body AC,pledges to,reforestation efforts","1"
"Manufacturer AD,introduces,energy-saving equipment","Producer AD,brings in,power-efficient machinery","1"
"Industry AE,neglects,waste management regulations","Sector AE,disregards,garbage disposal laws","0"
"Enterprise AF,engages in,greenwashing","Company AF,participates in,eco-friendly pretense","1"
"Organization AG,receives,environmental award","Association AG,awarded for,ecology excellence","1"
"Corporation AH,accused of,greenhouse gas emissions","Firm AH,indicted for,CO2 release","1"
"Business AI,promotes,sustainable agriculture","Company AI,endorses,eco-conscious farming","1"
"Entity AJ,involved in,illegal logging","Body AJ,engaged in,unlawful deforestation","1"
"Manufacturer AK,switches to,low-impact manufacturing","Producer AK,transitions to,less harmful production","1"
"Company AL,invests in,solar energy projects","Enterprise AL,funds,sun-powered initiatives","1"
"Organization AM,violates,hazardous waste regulations","Association AM,breaks,toxic disposal laws","0"
"Corporation AN,implements,carbon offset programs","Firm AN,adopts,CO2 compensation plans","1"
"Business AO,recognizes,environmental responsibility","Company AO,acknowledges,ecological accountability","1"
"Entity AP,accused of,water resource depletion","Body AP,charged with,aquifer overuse","0"
"Manufacturer AQ,develops,eco-efficient processes","Producer AQ,establishes,environmentally friendly operations","1"
"Industry AR,ignores,sustainable development goals","Sector AR,neglects,UN sustainability targets","0"
"Enterprise AS,partners in,reef conservation project","Company AS,collaborates in,coral protection initiative","1"
"Organization AT,fined for,air quality violations","Association AT,penalized for,atmospheric contamination","0"
"Corporation AU,supports,afforestation efforts","Firm AU,backs,tree planting campaigns","1"
"Business AV,engages in,green marketing","Company AV,participates in,eco-friendly advertising","1"
"Entity AW,complicit in,overfishing","Body AW,involved in,marine stock depletion","0"
"Manufacturer AX,adopts,low-carbon technologies","Producer AX,embraces,carbon-reducing solutions","1"
"Industry AY,challenged for,non-compliance with green standards","Sector AY,confronted for,failing eco-friendly norms","0"
"Enterprise AZ,leads in,environmental innovation","Company AZ,pioneers in,ecological breakthroughs","1"
